,name_en,name_fa,city_id,price_class
642,galerry_rahimiyeh,گالری رحیمیه,16,2
643,hama,هاما,16,1
644,liza,لیزا,16,2
645,ghasr_iranian,قصر ایرانیان,16,2
646,rotinda,روتیندا,16,2
647,hoora_gallery,گالری هورا,16,2
648,zeus,زئوس,16,2
649,zanan_kochak,زنان کوچک,16,2
650,wolfsden,ولفز دن,16,2
651,raf,رف,16,2
652,cafeboard,برد (مطهری),16,2
653,takhtjamshid,تخت جمشید (سیدخندان),16,2
654,westeria,هتل ویستریا,16,2
655,lunico,لونیکو,16,2
656,byte,بایت,16,2
657,bigharar,بی قرار,16,2
658,chino,چینو,16,2
659,entezar,انتظار,16,2
660,faramoshi,فراموشی,16,2
661,carpet,گالری فرش,16,2
662,ahraar,احرار,16,2
663,stage,استیج,16,2
664,sweeney,سوئینی,16,2
665,shine_toba,شاین (مجتمع طوبی),16,2
666,coyoti,کایوتی,16,2
667,dreamercafe,دریمر,16,2
